SEQ_NO,ISBN_THIRTEEN_NO,TITLE_NM,AUTHR_NM,PUBLISHER_NM,PBLICTE_DE,IMAGE_URL,BOOK_INTRCN_CN,KDC_NM
311744,9788918000381,부동산학개론,안정근...[등]저,법문사,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/001/339/00133971.jpg?type=m1&udate=20130629,년 공인중개사 차 시험대비 부동산학개론 수험서 이론적으로는 중요하나 시험에 출제되지 않는 것들을 삭제하고 기존 교과서와 수험서에 있는 내용을 보강하였다 그리고 매 문제마다 해설을 덧붙였다,321.329077
311747,9788918500034,민법 및 민사특별법,장진종...[등]저,법문사,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/001/339/00133976.jpg?type=m1&udate=20130629,년 공인중개사 차 시험대비 민법 및 민사특별법 수험서 출제경향에 맞추어 최근 판례를 다수 수록하고 사례문제와 판례문제를 많이 첨가하였다 또한 본문의 내용과 문제가 상호 연계되도록 구성하였다,365.0077
311749,9788918500041,부동산학개론,전용수...[등]저,법문사,2004[실은 20,http://image.aladin.co.kr/product/44/41/cover/8918500041_1.gif,년도 시행 공인중개사 차 시험 대비 부동산학개론 수험서 단원별로 핵심내용을 정리하여 중요점을 즉각 파악할 수 있도록 설명하고 있다 단원별 핵심원리 내용 사이에 기출문제 중 출제빈도가 높고 중요한 문제들을 엄선 수록하여 관련된 내용의 확인이 가능하도록 구성하였다 그리고 단원별 ,321.329077
311750,9788918500003,중개업법령 및 실무,서진형...[등]저,법문사,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/001/339/00133972.jpg?type=m1&udate=20130629,년 공인중개사 차시험대비 중개업법령 및 실무 수험서 방대한 중개업법령 및 실무의 내용을 요약 정리하고 최근에 출제 비중이 높아진 대법원 판례의 입장과 건교부 유권해석을 검토하여 중요 사항을 간추렸다 또한 거래관련제도의 중요 법령을 체계화하고 공경매 실무의 주요내용을 정리하였다 ,365.2077
311753,9788918500010,부동산공법,홍용석...[등]저,법문사,2004[실은 20,http://image.aladin.co.kr/product/40/18/cover/8918500017_1.gif,년도 시행 공인중개사 차 시험 대비 부동산공법 수험서 행정법의 기초이론을 체계적으로 정리하여 행정법의 일종인 부동산공법의 법조문 해석에 어려움이 없도록 구성하였다 또한 법의 논리적 해석과 체계화에 중점을 두고 구성하였으며 유의해야 할 사항은  알아두어야 할 사항은 ,363.64077
311903,9788931504132,(최신)KS규격데이터북,정해관 지음,성안당.com,2004[실은 20,http://image.aladin.co.kr/product/20/94/cover/8931504136_1.gif,기계 설계시 필요한 각종 부품의 기호 및  규격을 상세하게 수록하였으며 기사 및 기능사의 국가기술자격시험에 응시하는 수험생들에게 꼭 필요한 데이터만을 수록했다,551.15
311908,9788931522242,(최근 5개년 과년도)전기산업기사,전기기사연구회 編,성안당.Com,2004[실은 20,http://image.aladin.co.kr/product/41/13/cover/893152224x_1.jpg,좀더 쉽고 빠른 시간 내에 공부할 수 있는 자격 검정 대비서로 최근 년간년년 출제된 문제들을 수록하여 가장 능률적으로 전기 관련 자격증을 취득할 수 있도록 했다,560.77
311943,9788931522235,(최근 5개년 과년도)전기기사,전기기사연구회 編,성안당.Com,2004[실은 20,http://image.aladin.co.kr/product/41/13/cover/8931522231_1.jpg,좀더 쉽고 빠른 시간 내에 공부할 수 있는 자격 검정 대비서로 최근 년간년년 출제된 문제들을 수록하여 가장 능률적으로 전기 관련 자격증을 취득할 수 있도록 했다,560.77
311952,9788931504156,産業衛生管理技師·産業技師:技師·産業技師 試驗 對備 綜合 問題集,鄭用澤...[等]著,성안당.Com,2004[실은 20,http://image.aladin.co.kr/product/22/35/cover/8931504152_1.jpg,이 책의 특징은 산업위생관리기사 시험과목 중 작업환경관리대책에 산업환기와 작업공정관리 개인 보호구가 삽입되었으며 물리적 유해인자 관리과목이 분리되었다 또한 각 분야별로 문제를 수록하여 적중률을 높이고 이해를 돕기 위해 충분한 해설을 붙였으며 기사와 산업기사를 구분하지 않고 정리하여 ,539.51077
311953,9788931565782,(길잡이)土質 및 基礎技術士:단원별 기출문제,金宇植;朴宰成 [공]지음,성안당.com,2004[실은 20,http://image.aladin.co.kr/product/43/59/cover/893156578x_1.jpg,한국산업인력공단에서 시행하는 토질 및 기초기술사 자격 시험 대비 수험서토질 및 기초기술사단원별 기출문제 제편 이 책은 년부터 년까지의 기출문제를 단원별로 정리하였으며 문제의 핵심 요구사항을 정확히 파악하여 유사 문제와 유사 답안을 함께 묶어,532.3077
